Categories,Series,Product Name,TALL,GRANDE,VENTI,SOLO,DOPPIO,ADD FLAVOR,ADD ESPRESSO SHOT,ADD SOY
ESPRESSO,HOT ESPRESSO,Vanilla Latte,3.15,3.75,4.15,,,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Caffe Americano,2.25,2.75,3.25,,,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Caramel Macchiateo,3.75,4.45,4.75,,,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Caffe Latte,3.15,3.75,4.15,,,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Caffe Mocha,3.65,4.25,4.65,,,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Cappuccino,3.15,3.75,4.15,,,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,White Chocolate Mocha,3.75,4.45,4.75,,,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Espresso,,,,1.75,1.95,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Espresso Con Panna,,,,1.85,2.05,0.5,0.8,0.6
ESPRESSO,HOT ESPRESSO,Espresso Americano,,,,1.85,2.05,0.5,0.8,0.6
HOT TEA,TAZO TEA,Tazo Classic Chai Tea Latte,2.75,3.25,3.45,,,0.5,0.8,0.6
HOT TEA,TAZO TEA,Tazo ChoColate Chai Tea Latte,3.25,3.75,3.95,,,0.5,0.8,0.6
HOT TEA,TAZO TEA,Tazo Vanilla Chai Tea Latte,2.75,3.25,3.45,,,0.5,0.8,0.6
HOT TEA,TAZO TEA,Tazo Hot tea,2.25,2.45,2.65,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,ICED COFFEE,Iced caffe,,4.65,4.95,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,ICED COFFEE,Iced Caffe Americano,,2.65,3.15,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,ICED COFFEE,Iced Caramel Macchiato,,4.65,4.95,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,ICED COFFEE,Iced Flavor latte,,4.45,4.95,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,ICED COFFEE,Iced Coffee ~with or without milk~,,2.65,2.95,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,TAZO ICED TEA,Tazo Iced Tea,,2.45,2.95,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,TAZO ICED TEA,Tazo Iced Tea Lemonade,,3.25,3.75,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,TAZO ICED TEA,Tazo Iced Classic Chai Tea Latte,,3.95,4.25,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,TAZO ICED TEA,Tazo Iced Chocolate Chai Tea Latte,,3.95,4.25,,,0.5,0.8,0.6
ICE COFFEE & TAZO ICED TEA,TAZO ICED TEA,Tazo Iced Vanilla Caramel Chai Tea Latte,,3.95,4.25,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~COFFEE~,Frappuccino Coffee,Coffee,,3.95,4.45,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~COFFEE~,Frappuccino Coffee,Caramel,,4.65,4.95,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~COFFEE~,Frappuccino Coffee,Mocha,,4.65,4.95,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~COFFEE~,Frappuccino Coffee,Whte Chocolate Mocha,,4.65,4.95,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~COFFEE~,Frappuccino Coffee,Java Chip,,4.65,4.95,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~CREME~,Frappuccino Crème,Vanilla Bean,,3.95,4.45,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~CREME~,Frappuccino Crème,Strawberries & Crème,,4.65,4.95,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~CREME~,Frappuccino Crème,Mocha,,4.65,4.95,,,0.5,0.8,0.6
FRAPPUCCINO BLENDED BEVERAGE ~CREME~,Frappuccino Crème,Double Chocolaty Chip,,4.65,4.95,,,0.5,0.8,0.6
OTHER FAVORITES,Other,Hot Chocolate,2.75,3.25,3.45,,,0.5,0.8,0.6
OTHER FAVORITES,Other,White Hot Chocolate,3.25,3.75,3.95,,,0.5,0.8,0.6
OTHER FAVORITES,Other,Steamer,2.75,3.25,3.45,,,0.5,0.8,0.6
BREWED COFFEE,Brewed Coffee,Regular or Decaf,1.85,2.1,2.45,,,0.5,0.8,0.6