Categories,Product Name,TALL,GRANDE,VENTI
ESPRESSO & BREWED COFFEE,ICED CARAMEL MACCHIATO,$3.95 ,$4.75 ,$5.25 
ESPRESSO & BREWED COFFEE,WHITE CHOCOLATE MOCHA,$3.95 ,$4.75 ,$5.15 
ESPRESSO & BREWED COFFEE,CAFFE MOCHA,$3.75 ,$4.35 ,$4.75 
ESPRESSO & BREWED COFFEE,CAFFE LATTE,$3.25 ,$3.85 ,$4.25 
ESPRESSO & BREWED COFFEE,FLAT WHITE,$3.95 ,,
ESPRESSO & BREWED COFFEE,STARBUCKS COLD BREW,$2.95 ,$3.45 ,$3.75 
ESPRESSO & BREWED COFFEE,VANILLA SWEET CREAM COLD BREW,$3.45 ,$3.95 ,$4.25 
ESPRESSO & BREWED COFFEE,COLD FORM COLD BREW,$3.45 ,$3.95 ,$4.25 
ESPRESSO & BREWED COFFEE,COLDFOAM ICED CAPPUCCINO,$3.95 ,$4.75 ,$5.25 
ESPRESSO & BREWED COFFEE,ICED COFFEE (VANILLA OR CARAMEL),$2.45 ,$2.75 ,$3.15 
ESPRESSO & BREWED COFFEE,FRESHLY BREWED COFFEE,$1.95 ,$2.25 ,$2.65 
TEAVANA HANDCRAFTED TEA,SHAKEN ICED TEA(GREEN OR BLACK),$1.95 ,$2.45 ,$2.75 
TEAVANA HANDCRAFTED TEA,SHAKEN ICED TEA INFUSION,$2.75 ,$3.25 ,$3.75 
TEAVANA HANDCRAFTED TEA,SHAKEN ICED TEA INFUSIONS LEMONADES,$3.25 ,$3.75 ,$4.25 
TEAVANA HANDCRAFTED TEA,CLASSIC CHAI TEA LATTE,$3.65 ,$4.25 ,$4.45 
TEAVANA HANDCRAFTED TEA,LIGHTLY SWEET CHAI TEA LATTE,$3.65 ,$4.25 ,$4.45 
TEAVANA HANDCRAFTED TEA,ICED MATCHA GREEN TEA LATTE,$3.65 ,$4.25 ,$4.45 
FRAPPUCCINO,ULTRA CARAMEL,$4.95 ,$5.45 ,$5.95 
FRAPPUCCINO,TRIPLE MOCHA,$4.95 ,$5.45 ,$5.95 
FRAPPUCCINO,SERIOUS STRAWBERRY,$4.95 ,$5.45 ,$5.95 
FRAPPUCCINO,COFFEE,$4.45 ,$4.95 ,$5.45 
FRAPPUCCINO,JAVA CHIP,$4.95 ,$5.45 ,$5.95 
FRAPPUCCINO,VANILLA BEAN CRÈME,$4.45 ,$4.95 ,$5.45 
FRAPPUCCINO,DOUBLE CHOCLATY CHIP CRÈME,$4.95 ,$5.45 ,$5.95 
FRAPPUCCINO,MATCHA GREEN TEA CRÈME,$4.95 ,$5.45 ,$5.95 
FRAPPUCCINO,HORCHATA ALMOND MILK,$4.95 ,$5.45 ,$5.95 
SMOOTHIES,STRAWBERRY BANANA,,$4.65 ,
STARBUCKS REFRESHERS,MANGO DRAGONFRUIT,$3.45 ,$3.95 ,$4.45 
STARBUCKS REFRESHERS,STRAWBERRY ACAI,$3.45 ,$3.95 ,$4.45 
STARBUCKS REFRESHERS,VERY BERRY HIBISCUS,$3.45 ,$3.95 ,$4.45 
STARBUCKS REFRESHERS,COOL LIME,$3.45 ,$3.95 ,$4.45 